epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,924.719,1.85779,1.67892,1.47196,0.51257,0.57845,0.52309,0.27295,1.75324,1.26869,1.34535,0.0091684,0.0091684,0.0091684
44,946.25,1.82589,1.64049,1.45692,0.59185,0.52999,0.55656,0.28947,1.74944,1.25676,1.34899,0.0091486,0.0091486,0.0091486
45,968.458,1.84036,1.65409,1.45787,0.56182,0.542,0.56041,0.29078,1.78815,1.27686,1.37336,0.0091288,0.0091288,0.0091288
46,989.828,1.83568,1.66443,1.46536,0.50177,0.5941,0.57845,0.28928,1.84989,1.25778,1.39466,0.009109,0.009109,0.009109
47,1011.75,1.82522,1.62845,1.46179,0.55492,0.53416,0.53235,0.29515,1.71819,1.25827,1.33051,0.0090892,0.0090892,0.0090892
48,1033.66,1.8341,1.63442,1.46249,0.56777,0.52203,0.55918,0.29211,1.89438,1.27324,1.42042,0.0090694,0.0090694,0.0090694
49,1055.02,1.82099,1.62776,1.46896,0.61449,0.48571,0.55136,0.28476,1.85535,1.26163,1.39279,0.0090496,0.0090496,0.0090496
50,1076.08,1.82638,1.61756,1.45388,0.57797,0.55733,0.56821,0.30102,1.70902,1.22349,1.325,0.0090298,0.0090298,0.0090298
51,1097.5,1.81568,1.61544,1.45354,0.56318,0.56385,0.57517,0.2909,1.755,1.23935,1.34114,0.00901,0.00901,0.00901
52,1118.73,1.8081,1.60798,1.44707,0.56765,0.52823,0.56026,0.30134,1.67614,1.21926,1.31771,0.0089902,0.0089902,0.0089902
53,1139.95,1.82574,1.61223,1.45104,0.50529,0.58419,0.56305,0.27433,1.84114,1.22307,1.37709,0.0089704,0.0089704,0.0089704
54,1161.01,1.80392,1.57682,1.4437,0.55411,0.52611,0.5496,0.27808,1.74022,1.20709,1.33737,0.0089506,0.0089506,0.0089506
55,1182.11,1.80901,1.59955,1.44766,0.54977,0.53881,0.56464,0.27587,1.77859,1.19714,1.35339,0.0089308,0.0089308,0.0089308
